@harkhymadhe ➜ sparse-bregman git(main) python3 src/main.py 
Number of parameters: 3,759,692
Number of trainable parameters: 3,759,692


W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0] Graph break from `Tensor.item()`, consider setting:759 [00:00<?, ?it/s]
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]     torch._dynamo.config.capture_scalar_outputs = True
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0] or:
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]     env TORCHDYNAMO_CAPTURE_SCALAR_OUTPUTS=1
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0] to include these operations in the captured graph.
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0] Graph break: from user code at:
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]   File "/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch_geometric/data/collate.py", line 170, in _collate
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]     if incs.dim() > 1 or int(incs[-1]) != 0:
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]
W0306 06:49:23.412000 35553 site-packages/torch/_dynamo/variables/tensor.py:1079] [7/0]
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
W0306 06:49:29.590000 35553 site-packages/torch/_inductor/utils.py:1679] [27/0] Not enough SMs to use max_autotune_gemm mode
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
W0306 06:52:09.866000 35553 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] torch._dynamo hit config.recompile_limit (8)
W0306 06:52:09.866000 35553 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8]    function: '_collate' (/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch_geometric/data/collate.py:149)
W0306 06:52:09.866000 35553 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8]    last reason: 7/7: key == 'edge_index'                                 
# key = str(key)  # torch_geometric/data/collate.py:162 in _collate
W0306 06:52:09.866000 35553 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0306 06:52:09.866000 35553 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/compile/programming_model.recompilation.html
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
warnings.warn(
Epoch 1 | Train loss: 1.1542 | Test loss: 0.4271
Epoch 2 | Train loss: 0.3593 | Test loss: 0.3198
Epoch 3 | Train loss: 0.2724 | Test loss: 0.2575
Epoch 4 | Train loss: 0.2152 | Test loss: 0.2023
Epoch 5 | Train loss: 0.1629 | Test loss: 0.1472
Epoch 6 | Train loss: 0.1299 | Test loss: 0.1219
Epoch 7 | Train loss: 0.1134 | Test loss: 0.1096
Epoch 8 | Train loss: 0.1037 | Test loss: 0.1008
Epoch 9 | Train loss: 0.0965 | Test loss: 0.0925
Epoch 10 | Train loss: 0.0905 | Test loss: 0.0900
Epoch 11 | Train loss: 0.0862 | Test loss: 0.0834
Epoch 12 | Train loss: 0.0822 | Test loss: 0.0816
Epoch 13 | Train loss: 0.0784 | Test loss: 0.0795
Epoch 14 | Train loss: 0.0747 | Test loss: 0.0755
Epoch 15 | Train loss: 0.0716 | Test loss: 0.0723
Epoch 16 | Train loss: 0.0691 | Test loss: 0.0704
Epoch 17 | Train loss: 0.0669 | Test loss: 0.0667
Epoch 18 | Train loss: 0.0650 | Test loss: 0.0662
Epoch 19 | Train loss: 0.0629 | Test loss: 0.0647
Epoch 20 | Train loss: 0.0617 | Test loss: 0.0630
Epoch 21 | Train loss: 0.0604 | Test loss: 0.0638
Epoch 22 | Train loss: 0.0587 | Test loss: 0.0640
Epoch 23 | Train loss: 0.0577 | Test loss: 0.0636
Epoch 24 | Train loss: 0.0571 | Test loss: 0.0627
Epoch 25 | Train loss: 0.0561 | Test loss: 0.0632
Epoch 26 | Train loss: 0.0555 | Test loss: 0.0611
Epoch 27 | Train loss: 0.0550 | Test loss: 0.0606
Epoch 28 | Train loss: 0.0536 | Test loss: 0.0584
Epoch 29 | Train loss: 0.0525 | Test loss: 0.0588
Epoch 30 | Train loss: 0.0519 | Test loss: 0.0564
Epoch 31 | Train loss: 0.0513 | Test loss: 0.0594
Epoch 32 | Train loss: 0.0511 | Test loss: 0.0582
Epoch 33 | Train loss: 0.0512 | Test loss: 0.0562
Epoch 34 | Train loss: 0.0493 | Test loss: 0.0571
Epoch 35 | Train loss: 0.0511 | Test loss: 0.0568
Epoch 36 | Train loss: 0.0495 | Test loss: 0.0553
Epoch 37 | Train loss: 0.0486 | Test loss: 0.0549
Epoch 38 | Train loss: 0.0475 | Test loss: 0.0645
Epoch 39 | Train loss: 0.0486 | Test loss: 0.0546
Epoch 40 | Train loss: 0.0472 | Test loss: 0.0532
Epoch 41 | Train loss: 0.0462 | Test loss: 0.0543
Epoch 42 | Train loss: 0.0456 | Test loss: 0.0549
Epoch 43 | Train loss: 0.0459 | Test loss: 0.0518
Epoch 44 | Train loss: 0.0447 | Test loss: 0.0526
Epoch 45 | Train loss: 0.0445 | Test loss: 0.0523
Epoch 46 | Train loss: 0.0435 | Test loss: 0.0532
Epoch 47 | Train loss: 0.0438 | Test loss: 0.0512
Epoch 48 | Train loss: 0.0436 | Test loss: 0.0512
Epoch 49 | Train loss: 0.0433 | Test loss: 0.0514
Epoch 50 | Train loss: 0.0426 | Test loss: 0.0503
Epoch 51 | Train loss: 0.0424 | Test loss: 0.0485
Epoch 52 | Train loss: 0.0413 | Test loss: 0.0488
Epoch 53 | Train loss: 0.0409 | Test loss: 0.0493
Epoch 54 | Train loss: 0.0409 | Test loss: 0.0491
Epoch 55 | Train loss: 0.0470 | Test loss: 0.0490
Epoch 56 | Train loss: 0.0408 | Test loss: 0.0476
Epoch 57 | Train loss: 0.0395 | Test loss: 0.0468
Epoch 58 | Train loss: 0.0391 | Test loss: 0.0473
Epoch 59 | Train loss: 0.0386 | Test loss: 0.0464
Epoch 60 | Train loss: 0.0387 | Test loss: 0.0459
Epoch 61 | Train loss: 0.0381 | Test loss: 0.0458
Epoch 62 | Train loss: 0.0381 | Test loss: 0.0479
Epoch 63 | Train loss: 0.0375 | Test loss: 0.0462
Epoch 64 | Train loss: 0.0379 | Test loss: 0.0462
Epoch 65 | Train loss: 0.0369 | Test loss: 0.0442
Epoch 66 | Train loss: 0.0367 | Test loss: 0.0449
Epoch 67 | Train loss: 0.0368 | Test loss: 0.0435
Epoch 68 | Train loss: 0.0358 | Test loss: 0.0457
Epoch 69 | Train loss: 0.0363 | Test loss: 0.0464
Epoch 70 | Train loss: 0.0355 | Test loss: 0.0440
Epoch 71 | Train loss: 0.0351 | Test loss: 0.0444
Epoch 72 | Train loss: 0.0348 | Test loss: 0.0458
Epoch 73 | Train loss: 0.0350 | Test loss: 0.0433
Epoch 74 | Train loss: 0.0345 | Test loss: 0.0430
Epoch 75 | Train loss: 0.0333 | Test loss: 0.0442
Epoch 76 | Train loss: 0.0342 | Test loss: 0.0456
Epoch 77 | Train loss: 0.0335 | Test loss: 0.0428
Epoch 78 | Train loss: 0.0333 | Test loss: 0.0408
Epoch 79 | Train loss: 0.0331 | Test loss: 0.0434
Epoch 80 | Train loss: 0.0332 | Test loss: 0.0422
Epoch 81 | Train loss: 0.0328 | Test loss: 0.0417
Epoch 82 | Train loss: 0.0325 | Test loss: 0.0421
Epoch 83 | Train loss: 0.0329 | Test loss: 0.0426
Epoch 84 | Train loss: 0.0331 | Test loss: 0.0415
Epoch 85 | Train loss: 0.0321 | Test loss: 0.0417
Epoch 86 | Train loss: 0.0316 | Test loss: 0.0409
Epoch 87 | Train loss: 0.0316 | Test loss: 0.0412
Epoch 88 | Train loss: 0.0313 | Test loss: 0.0413
