home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
                                                                                                                                                             /home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
                                                                                                                                                             /home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
W0304 17:39:43.165000 4819 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] torch._dynamo hit config.recompile_limit (8)
W0304 17:39:43.165000 4819 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8]    function: '_collate' (/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch_geometric/data/collate.py:149)
W0304 17:39:43.165000 4819 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8]    last reason: 7/7: key == 'edge_index'                                  
    # key = str(key)  # torch_geometric/data/collate.py:162 in _collate
W0304 17:39:43.165000 4819 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0304 17:39:43.165000 4819 site-packages/torch/_dynamo/convert_frame.py:1676] [7/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/compile/programming_model.recompilation.html
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
/home/harkhymadhe/miniforge3/envs/bregman/lib/python3.13/site-packages/torch/_dynamo/guards.py:1148: RuntimeWarning: Guards may run slower on Python 3.13.0. Consider upgrading to Python 3.13.1+.
  warnings.warn(
Epoch 1 | Train loss: 1.2005 | Test loss: 0.7687
Epoch 2 | Train loss: 0.6356 | Test loss: 0.4844
Epoch 3 | Train loss: 0.4586 | Test loss: 0.4195
Epoch 4 | Train loss: 0.4134 | Test loss: 0.3783
Epoch 5 | Train loss: 0.3666 | Test loss: 0.3260
Epoch 6 | Train loss: 0.3068 | Test loss: 0.2878
Epoch 7 | Train loss: 0.2785 | Test loss: 0.2643
Epoch 8 | Train loss: 0.2507 | Test loss: 0.2469
Epoch 9 | Train loss: 0.2335 | Test loss: 0.2214
Epoch 10 | Train loss: 0.2184 | Test loss: 0.2045
Epoch 11 | Train loss: 0.2111 | Test loss: 0.2178
Epoch 12 | Train loss: 0.1970 | Test loss: 0.1901
Epoch 13 | Train loss: 0.1897 | Test loss: 0.2128
Epoch 14 | Train loss: 0.1836 | Test loss: 0.1749
Epoch 15 | Train loss: 0.1717 | Test loss: 0.1727
Epoch 16 | Train loss: 0.1659 | Test loss: 0.1696
Epoch 17 | Train loss: 0.1576 | Test loss: 0.1599
Epoch 18 | Train loss: 0.1475 | Test loss: 0.1676
Epoch 19 | Train loss: 0.1350 | Test loss: 0.1488
Epoch 20 | Train loss: 0.1332 | Test loss: 0.1297
Epoch 21 | Train loss: 0.1237 | Test loss: 0.1269
Epoch 22 | Train loss: 0.1234 | Test loss: 0.1328
Epoch 23 | Train loss: 0.1161 | Test loss: 0.1152
Epoch 24 | Train loss: 0.1133 | Test loss: 0.1171
Epoch 25 | Train loss: 0.1135 | Test loss: 0.1209
Epoch 26 | Train loss: 0.1102 | Test loss: 0.1269
Epoch 27 | Train loss: 0.1080 | Test loss: 0.1200
Epoch 28 | Train loss: 0.1042 | Test loss: 0.1071
Epoch 29 | Train loss: 0.1031 | Test loss: 0.1127
Epoch 30 | Train loss: 0.1014 | Test loss: 0.1060
Epoch 31 | Train loss: 0.1022 | Test loss: 0.1139
Epoch 32 | Train loss: 0.0966 | Test loss: 0.1061
Epoch 33 | Train loss: 0.0993 | Test loss: 0.1027
Epoch 34 | Train loss: 0.0946 | Test loss: 0.1094
Epoch 35 | Train loss: 0.0950 | Test loss: 0.1045
Epoch 36 | Train loss: 0.0953 | Test loss: 0.1114
Epoch 37 | Train loss: 0.0951 | Test loss: 0.1034
Epoch 38 | Train loss: 0.0945 | Test loss: 0.1030
Epoch 39 | Train loss: 0.0920 | Test loss: 0.1117
Epoch 40 | Train loss: 0.0918 | Test loss: 0.1065
Epoch 41 | Train loss: 0.0909 | Test loss: 0.1090
Epoch 42 | Train loss: 0.0909 | Test loss: 0.1088
Epoch 43 | Train loss: 0.0888 | Test loss: 0.1039
Epoch 44 | Train loss: 0.0899 | Test loss: 0.1018
Epoch 45 | Train loss: 0.0861 | Test loss: 0.1015
Epoch 46 | Train loss: 0.0871 | Test loss: 0.0952
Epoch 47 | Train loss: 0.0852 | Test loss: 0.0944
Epoch 48 | Train loss: 0.0833 | Test loss: 0.0910
Epoch 49 | Train loss: 0.0822 | Test loss: 0.0939
Epoch 50 | Train loss: 0.0823 | Test loss: 0.0953
Epoch 51 | Train loss: 0.0794 | Test loss: 0.0874
Epoch 52 | Train loss: 0.0804 | Test loss: 0.0857
Epoch 53 | Train loss: 0.0776 | Test loss: 0.0895
Epoch 54 | Train loss: 0.0797 | Test loss: 0.0853
Epoch 55 | Train loss: 0.0763 | Test loss: 0.0859
Epoch 56 | Train loss: 0.0767 | Test loss: 0.0874
Epoch 57 | Train loss: 0.0770 | Test loss: 0.0818
Epoch 58 | Train loss: 0.0761 | Test loss: 0.0833
Epoch 59 | Train loss: 0.0749 | Test loss: 0.0902
Epoch 60 | Train loss: 0.0745 | Test loss: 0.0859
Epoch 61 | Train loss: 0.0739 | Test loss: 0.0865
Epoch 62 | Train loss: 0.0727 | Test loss: 0.0800
Epoch 63 | Train loss: 0.0731 | Test loss: 0.0828
Epoch 64 | Train loss: 0.0727 | Test loss: 0.0822
Epoch 65 | Train loss: 0.0715 | Test loss: 0.0853
Epoch 66 | Train loss: 0.0707 | Test loss: 0.0822
Epoch 67 | Train loss: 0.0694 | Test loss: 0.0871
Epoch 68 | Train loss: 0.0717 | Test loss: 0.0961
Epoch 69 | Train loss: 0.0706 | Test loss: 0.0848
Epoch 70 | Train loss: 0.0696 | Test loss: 0.0843
Epoch 71 | Train loss: 0.0693 | Test loss: 0.0822
Epoch 72 | Train loss: 0.0711 | Test loss: 0.0772
Epoch 73 | Train loss: 0.0667 | Test loss: 0.0854
Epoch 74 | Train loss: 0.0688 | Test loss: 0.0772
Epoch 75 | Train loss: 0.0681 | Test loss: 0.0832
Epoch 76 | Train loss: 0.0662 | Test loss: 0.0803
Epoch 77 | Train loss: 0.0672 | Test loss: 0.0809
Epoch 78 | Train loss: 0.0673 | Test loss: 0.0828
Epoch 79 | Train loss: 0.0656 | Test loss: 0.0835
Epoch 80 | Train loss: 0.0657 | Test loss: 0.0763
Epoch 81 | Train loss: 0.0643 | Test loss: 0.0795
Epoch 82 | Train loss: 0.0646 | Test loss: 0.0752
